AGLC SKU,QUANTITY,SKU DESCRIPTION,Available Cases,Format,Subcategory,THC MIN,THC MAX,THC UOM,CBD MIN,CBD MAX,CBD UOM,EachesPerCase,New SKU This Week, On Sale , Sell Price Per Case , Orginal Price Per Case , Sell Price Per Unit ,MSRP, Recycle Fees Per Case , Deposit Fee Per Case ,Company Name,Brand Name,Product Name,Long Product Description,Merchandising Strategy,Type_(Sub 2 Category),Strain_(Sub 3 Category),Province_of_Origin,Region of Product_(Optional),Extraction Process,Dominant Terpene 1,Dominant Terpene 1 Content (%),Dominant Terpene 2,Dominant Terpene 2 Content (%),Dominant Terpene 3,Dominant Terpene 3 Content (%),Other Terpenes List,Net Content,Content UOM,Piece Qty,Piece Size,DCE (g),Master Case Height_(cm),Master Case Length_(cm),Master Case Width_(cm),Master Case Weight_(kg),External Packaging Material,Each Inner Height_(cm),Each Inner Length_(cm),Each Inner Width_(cm),Each Inner Weight_(grams),GTIN,MasterCaseGTIN
CNB-00705082,0,Bogart's Kitchen Red Habanero Heartbeat Hot Sauce 10ml,254,Edible,Salty Snacks,10,10,mg,1,1,mg,12,FALSE,FALSE,$71.64,$71.64,$5.97,$9.99, - , - ,Emblem Cannabis,Heartbeat Hot Sauce x Bogart's Kitchen,Red Habanero Hout Sauce,Bogart's Kitchen Red Habanero Heartbeat Hot Sauce 10ml,Best / Premium,Blend,Salty Snacks,Ontario,,,,,,,,,,10,ml,1,10,0.72,14,18,16,320,Glass bottle in plastic pouch,15,11,3,12.8,882464005438,20882464005432
CNB-00705083,0,Bogart's Kitchen Jalapeno Heartbeat Hot Sauce 10 ml,274,Edible,Salty Snacks,10,10,mg,1,1,mg,12,FALSE,FALSE,$71.64,$71.64,$5.97,$9.99, - , - ,Emblem Cannabis,Heartbeat Hot Sauce x Bogart's Kitchen,Jalapeno Hot Sauce,Bogart's Kitchen Jalapeno Heartbeat Hot Sauce 10 ml,Best / Premium,Blend,Salty Snacks,Ontario,,,,,,,,,,10,ml,1,10,0.71,14,18,16,320,Glass bottle in plastic pouch,15,11,3,12.8,882464005445,20882464005449
CNB-01005120,0,SHRED'EMS Sour Apple Slap Soft Chews 4x4.5g,167,Edible,Soft Chews,10,10,mg,0,0,mg,24,FALSE,FALSE,$76.32,$76.32,$3.18,$4.99, - , - ,Organigram,SHRED'EMS,Sour Apple Slap Soft Chews,SHRED'EMS Sour Apple Slap Soft Chews 4x4.5g,Good / Value,Sativa,Blend,Manitoba,Winnipeg,,Blend,0.0,,,,,,18,g,4,4.5,1.2,11.1,15.72,10.95,680,Cr Pouch,14.8,1,9.2,25,671148303041,10671148303048
CNB-03105482,0,OS.ONE Durban Poison 3.5g Dried Flower,128,Dried Flower,Dried Flower,180,230,mg/g,0,10,mg/g,12,FALSE,FALSE,$167.88,$167.88,$13.99,$19.99, - , - ,HEXO,Original Stash,OS.ONE Durban Poison,"Durban Poison is a famed Landrace cultivar, said to date back centuries to the modern-day port city of Durban. Brought to and refined by breeders in North America, this sativa-dominant strain has high THC potential and fat buds with frosty trichomes all over.",Ultra Value,Sativa,Durban Poison,Quebec,,,b-Caryophyllene,35.0,Limonene,25.0,Myrcene,20.0,,3.5,g,1,3.5,3.5,14.6,20.8,14,213,Mylar,17.78,4.83,12.7,13,697238300288,40697238300286
CNB-02805634,0,Growers Reserve 7g Dried Flower,12,Dried Flower,Dried Flower,160,220,mg/g,0,10,mg/g,12,FALSE,FALSE,$244.92,$244.92,$20.41,$29.49, - , - ,Delta 9,Delta 9,Growers Reserve,This is a potent Grower's selection of top Delta 9 cultivars. These strains are the go-to choice for our Growers when they want good quality cannabis and great value.,Good / Value,Hybrid,Rotating Single Strain,Manitoba,Winnipeg,,Various,0.0,,,,,,7,g,1,7,7.0,22.86,25,19,220,Plastic,6,11,6,139.57,00689285001775,30689285001776
CNB-02805633,0,Growers Private Stash 7g Dried Flower,64,Dried Flower,Dried Flower,220,280,mg/g,0,10,mg/g,12,FALSE,FALSE,$311.64,$311.64,$25.97,$36.99, - , - ,Delta 9,Delta 9,Growers Private Stash,"Growers Private Stash or G.P.S. refers to Delta 9 cultivars that are high-range THC. They are some of the favourite buds from our teams of Growers ad certain to make their own personal consumption lists. Like all Delta 9 Cannabis products, G.P.S. represents the quality you expect and the value you deserve.",Good / Value,Hybrid,Rotating Single Strain,Manitoba,Winnipeg,,Various,0.0,,,,,,7,g,1,7,7.0,22.86,15.5,19,220,Plastic,6,11,6,139.57,00689285001782,30689285001783
CNB-02805640,0,Kmintz 2 x 0.5g Pre-Rolls,30,Pre-Roll,Pre-Rolls,230,290,mg/g,0,10,mg/g,24,FALSE,FALSE,$152.64,$152.64,$6.36,$9.49, - , - ,Delta 9,Cypress Craft,Kmintz Pre-Roll,"Kmintz (Zkittlez x Kush Mints) is grown by Cypress Craft, a fouth-generation farming family based out of rural Manitoba that puts the craft in craft cannabis. Hang dried for 10 to 14 days and patiently cured for up to four weeks, the resulting product is unparalleled in flavour and smoothness. These medium to large buds are absolutely coated with trichomes, covering its deep purple base that is highlighted with vibrant strikes of lime green. The aroma is multifaceted, heavy with pungent notes of fruit, mint and cheese.",Best / Premium,Indica,Kmintz,Manitoba,Neepawa,,Caryophyllene,30.0,Limonene,16.1,Humulene,8.8,,1,g,2,0.5,1.0,13.5,24,17,30,Plastic,11.5,2,2,8.3,689285002130,30689285002131
CNB-02903732,0,Organic Maple Kush 3.5g Dried Flower,468,Dried Flower,Dried Flower,260,330,mg/g,0,20,mg/g,12,FALSE,FALSE,$288.24,$288.24,$24.02,$34.49, - , - ,The Green Organic Dutchman,The Green Organic Dutchman,Organic Maple Kush,"Organic Maple Kush is a certified organic indica bud grown in living soil using natural sunlight and purified rainwater. A TGOD original cross between Koloa Sunrise and GG4, Organic Maple Kush gets its name from the  Canadian organic maple syrup used to feed the soil it grows in, giving it a natural source of carbohydrates. Its dense round buds with dark purple and green leaves are covered in frosty-white trichomes and bright orange pistils. This beautiful bud brings with it a tropical, fruity, kush-like finish, a result of myrcene and farnescene terpenes that dominate this strain's aroma and flavour.",Best / Premium,Indica,Maple Kush,Quebec,,,Myrcene,23.0,Caryophyllene,18.0,Farnesene-2,17.0,"Limonene,Linalool,Trans Caryophyllene,Farnesene",3.5,g,1,3.5,3.5,16.6,24.3,12.6,1900,Glass,5.7,7.8,7.6,167,827763002085,20827763002089
CNB-01403173,0,LA Kush Cake 3 x 0.5g Pre-Rolls,659,Pre-Roll,Pre-Rolls,240,300,mg/g,0,10,mg/g,12,FALSE,FALSE,$197.28,$197.28,$16.44,$23.49, - , - ,Sundial Growers,Top Leaf,LA Kush Cake,"Both scrumptiously smooth and surprisingly strong, Top Leaf LA Kush Cake is proof that sometimes it is possible to have your cake and smoke it too. Treat yourself to a sweet vanilla scent and indulge in its minty flavour - this easy smoking indica really does take the cake.",Best / Premium,Indica,LA Kush Cake,Alberta,,,Limonene,25.7,Caryophyllene,23.7,Linalool,16.3,"Myrcene,Humulene",1.5,g,3,0.5,1.5,13.34,13.34,13.34,60,,13,2.2,0.01,2.2,827885008828,10827885008825
CNB-01701795,0,THC Blend House Bud 5 x 0.5 g Pre Rolls,141,Pre-Roll,Pre-Rolls,170,220,mg/g,0,10,mg/g,24,FALSE,FALSE,$240.24,$240.24,$10.01,$14.49, - , - ,AgMedica Bioscience,Five Founders,THC Blend House Bud,"Five Founders House Bud is created with the perfect combination of high-quality, indoor-grown whole flower cannabis. This is a blend of Blueberry Cross, DJ Short Blueberry Afghani and Afghan Kush.  Delivering a consistent mid to high level THC potency, these pre-rolls are machine rolled and sealed in an airtight container to lock in freshness. This product is also shipped with a moisture pack to assist with humidity control.",Good / Value,Blend,Blend,Ontario,Chatham-Kent,,Various,0.0,,,,,,2.5,g,5,0.5,2.5,10.16,30.48,10.16,50,PET,1.5,9.5,6.35,16,628250744880,10628250744887
