SKU,Product_Name,Brand_Name,BC_INDIGENOUS_PRODUCT,SubCategory,Class,Origin_Country,Origin_Region,Origin_SubRegion,SU_Qty_In_Each_Case,SU_CODE,SU_CODE_TYPE,CASE_CODE,CASE_CODE_TYPE,SU_product_net_size,SU_product_net_size_uom,SU_volume_equivalency,SU_volume_equivalency_UOM,CASE_WEIGHT,CASE_WEIGHT_UOM,Strain,Species,PER_ACTIVATION_CBD_MAX,PER_ACTIVATION_CBD_MIN,PER_ACTIVATION_CBD_UOM,PER_ACTIVATION_THC_MAX,PER_ACTIVATION_THC_MIN,PER_ACTIVATION_THC_UOM,PER_DISCRETE_UNIT_CBD_MAX,PER_DISCRETE_UNIT_CBD_MIN,PER_DISCRETE_UNIT_CBD_UOM,PER_DISCRETE_UNIT_THC_MAX,PER_DISCRETE_UNIT_THC_MIN,PER_DISCRETE_UNIT_THC_UOM,PER_RETAIL_UNIT_CBD_MAX,PER_RETAIL_UNIT_CBD_MIN,PER_RETAIL_UNIT_CBD_UOM,PER_RETAIL_UNIT_THC_MAX,PER_RETAIL_UNIT_THC_MIN,PER_RETAIL_UNIT_THC_UOM,Extraction_Process,Packaging_Material,Consumption_Method,Harvesting_Method,Growing_Method,Terpene_1_Type,Terpene_2_Type,Terpene_3_Type,Number_of_consumer_items,Consumer_item_size,Consumer_item_size_uom,Ecomm_Short_Description,Ecomm_Long_Description
1000017,ESCAPE QWEST,QWEST,N,Flower,Indica,Canada,British Columbia,Creston,48,00628242900003,GTIN,10628242900000,GTIN,1,GRAM,1,GRAM,3236,GRAM,DEATH BUBBA,INDICA,,,,,,,,,,,,,,,,,,,,POLYPROPYLENE,,,INDOOR,CARYOPHYLLENE,LIMONENE,PINENE,1,1,GRAM,Robust and full-bodied musky aroma with earthy terpenes.,"Qwests Escape Qwest (Death Bubba) is cultivated using the mineral rich soils and streams of the Pacific Northwest. A heavy indica, Death Bubba presents a robust flower structure, which yields earthy terpenes of wood and pine. With bright pistils and bulbous trichomes, Death Bubba has a familiar musk reminiscent of other BC-grown favourites."
1000025,ESCAPE QWEST,QWEST,N,Flower,Indica,Canada,British Columbia,Creston,48,00628242900010,GTIN,10628242900017,GTIN,3.5,GRAM,3.5,GRAM,2686,GRAM,DEATH BUBBA,INDICA,,,,,,,,,,,,,,,,,,,,POLYPROPYLENE,,,INDOOR,CARYOPHYLLENE,LIMONENE,,1,3.5,GRAM,Robust and full-bodied musky aroma with earthy terpenes.,"Qwests Escape Qwest (Death Bubba, a cross between Bubba Kush and Death Star) is cultivated using the mineral rich soils and streams of the Pacific Northwest. A heavy indica, Death Bubba presents a robust flower structure, which yields earthy terpenes of wood and pine. With bright pistils and bulbous trichomes, Death Bubba has a familiar musk reminiscent of other BC-grown favourites."
1000033,WONDER QWEST,QWEST,N,Flower,Sativa,Canada,British Columbia,Creston,48,00628242900027,GTIN,10628242900024,GTIN,1,GRAM,1,GRAM,3236,GRAM,SOUR DIESEL,SATIVA,,,,,,,,,,,,,,,,,,,,POLYPROPYLENE,INHALE,HAND,INDOOR,MYRCENE,LIMONENE,,1,1,GRAM,"Hint of pine, and sweet and sour undertones.","Wonder Qwest (Sour Diesel) has a rare flavour profile that matches its name. Fluffy with resinous white-hued sugar leaves, this Chemdawg91 and SuperSkunk cross is truly sour with sweet hints of citrus. Pungent and tart, this is a hearty phenotype that is small-batch grown, hand-trimmed, and top cut (to attain the densest and most robust flowers)."
1000041,WONDER QWEST,QWEST,N,Flower,Sativa,Canada,British Columbia,Creston,48,00628242900034,GTIN,10628242900031,GTIN,3.5,GRAM,3.5,GRAM,2400,GRAM,SOUR DIESEL,SATIVA,,,,,,,,,,,,,,,,,,,,POLYPROPYLENE,,,INDOOR,MYRCENE,LIMONENE,,1,3.5,GRAM,"Hint of pine, and sweet and sour undertones.","Wonder Qwest (Sour Diesel) has a rare flavour profile that matches its name. Fluffy with resinous white-hued sugar leaves, this Chemdawg91 and Super Skunk cross is truly sour with sweet hints of citrus. Pungent and tart, this is a hearty phenotype that is  small-batch grown, hand-trimmed, and top cut (to attain the densest and most robust flowers)."
1000058,QWEST,QWEST,N,Flower,Sativa,Canada,British Columbia,Creston,48,00628242900041,GTIN,10628242900048,GTIN,1,GRAM,1,GRAM,3236,GRAM,STRAWBERRY COUGH,SATIVA,,,,,,,,,,,,,,,,,,,,POLYPROPYLENE,INHALE,HAND,INDOOR,LIMONENE,GUAIOL,,1,1,GRAM,Blend of strawberries and fruit flavours.,"Typically dense, sativa-dominant hybrid Vision Qwest (Strawberry Cough, a cross between Strawberry Fields and Haze) has a rich and sprawling variety of phenotypes, ranging from noticeably white to dark purple, with sweet and fruity terpenes. Qwest cannabis is small-batch grown, hand-trimmed, and top cut to attain the densest and most robust flower."
1000066,QWEST,QWEST,N,Flower,Sativa,Canada,British Columbia,Creston,48,00628242900348,GTIN,10628242900345,GTIN,3.5,GRAM,3.5,GRAM,2400,GRAM,STRAWBERRY COUGH,SATIVA,,,,,,,,,,,,,,,,,,,,POLYPROPYLENE,,,INDOOR,LIMONENE,GUAIOL,,1,3.5,GRAM,Blend of strawberries and fruit flavours.,"Typically dense, sativa-dominant hybrid Vision Qwest (Strawberry Cough, a cross between Strawberry Fields and Haze) has a rich and sprawling variety of phenotypes, ranging from noticeably white to dark purple, with sweet and fruity terpenes. Qwest cannabis is small-batch grown, hand-trimmed, and top cut to attain the densest and most robust flower."
1000074,ZEST QWEST,QWEST,N,Flower,Sativa,Canada,British Columbia,Creston,48,00628242900065,GTIN,10628242900062,GTIN,1,GRAM,1,GRAM,3236,GRAM,SUPER LEMON HAZE,SATIVA,,,,,,,,,,,,,,,,,,,,POLYPROPYLENE,INHALE,HAND,INDOOR,TERPINOLENE,,,1,1,GRAM,Aromatic zesty citrus and subtly sweet flavours.,"Sativa-dominant Super Lemon Haze strain (Zest Qwest), combining favoured genetics from popular parent strains Lemon Skunk and Super Silver Haze, Super Lemon Haze has a frosty layer of kief bearing a blonde tint. Naturally lanky flowers feature signature aromatics of zesty citrus. Qwest cannabis is small-batch grown, hand-trimmed, and top cut (to attain the densest and most robust buds)."
1000082,ZEST QWEST,QWEST,N,Flower,Sativa,Canada,British Columbia,Creston,48,00628242900355,GTIN,10628242900352,GTIN,3.5,GRAM,3.5,GRAM,3560,GRAM,SUPER LEMON HAZE,SATIVA,,,,,,,,,,,,,,,,,,,,POLYPROPYLENE,,,INDOOR,TERPINOLENE,,,1,3.5,GRAM,Aromatic zesty citrus and subtly sweet flavours.,"Sativa-dominant Super Lemon Haze strain (Zest Qwest), combining  favoured genetics from popular parent strains Lemon Skunk and Super Silver Haze, Super Lemon Haze has a frosty layer of kief bearing a blonde tint. Naturally lanky flowers feature signature aromatics of zesty citrus. Qwest cannabis is small-batch grown, hand-trimmed, and top cut (to attain the densest and most robust buds)."
1000090,WEDDING BREATH,QWEST RESERVE,N,Flower,Indica,Canada,British Columbia,Creston,48,00628242900089,GTIN,10628242900086,GTIN,1,GRAM,1,GRAM,3236,GRAM,WEDDING BREATH,INDICA,,,,,,,,,,,,,,,,,,,,POLYPROPYLENE,INHALE,HAND,INDOOR,PINENE,HUMULENE,BETA_CARYOPHYLLENE,1,1,GRAM,Creamy taste with subtle spice flavours.,"Spirit Qwest (Wedding Breath, a cross between Wedding Cake and Mendo Breath) is a rare indica-dominant strain with a grape profile and a flower structure akin to the renowned Purple Haze. Qwest cannabis is small-batch grown, hand-trimmed, and top cut (to attain the densest and most robust flowers)."
1000108,WEDDING BREATH,QWEST RESERVE,N,Flower,Indica,Canada,British Columbia,Creston,48,00628242900324,GTIN,10628242900321,GTIN,3.5,GRAM,3.5,GRAM,2380,GRAM,WEDDING BREATH,INDICA,,,,,,,,,,,,,,,,,,,,POLYPROPYLENE,,,INDOOR,PINENE,HUMULENE,BETA_CARYOPHYLLENE,1,3.5,GRAM,Creamy taste with subtle spice flavours.,"Spirit Qwest (Wedding Breath, a cross between Wedding Cake and Mendo Breath) is a rare indica-dominant strain with a grape profile and a flower structure akin to the renowned Purple Haze. Qwest cannabis is small-batch grown, hand-trimmed, and top cut (to attain the densest and most robust flowers)."
