Category,Sub-Category,Sub-Sub-Category,Product Name,Brand,Supplier Name,Product Short Description,Product Long Description,Size,Colour,Image URL,Unit of Measure,Stock Status,Unit Price,Pack Size,Minimum THC Content (%),Maximum THC Content (%),THC Content Per Unit,THC Content Per Volume,Minimum CBD Content (%),Maximum CBD Content (%),CBD Content Per Unit,CBD Content Per Volume,Dried Flower Cannabis Equivalency,Plant Type,Terpenes,GrowingMethod,Number of Items in a Retail Pack,GTIN,OCS Item Number,OCS Variant Number,Physical Dimension Width,Physical Dimension Height,Physical Dimension Depth,Physical Dimension Volume,Physical Dimension Weight,Eaches Per Inner Pack,Eaches Per Master Case,Inventory Status,Storage Criteria,Food Allergens,Ingredients,Street Name,Grow Medium,Grow Method,Grow Region,Drying Method,Trimming Method,Extraction Process,Carrier Oil,Heating Element Type,Battery Type,Rechargeable Battery,Removable Battery,Replacement Parts Available,Temperature Control,Temperature Display,Compatibility,THC Min,THC Max,CBD Min,CBD Max,Net Weight,Craft
Extracts,Sublingual Strips,,Fast Acting Oral THC QuickStrip,Being,9258159 CANADA INC. O/A THRIVE CANNABIS,"Being Fast Acting Oral THC QuickStrip™ is a smoke-free cannabis alternative that delivers more cannabinoids per equivalent dose, faster, than other non-combustible formats.","Being Fast Acting Oral THC QuickStrip™ is a smoke-free cannabis alternative that delivers more cannabinoids per equivalent dose, faster, than other non-combustible formats.

Each QuickStrip delivers cannabinoids rapidly by micronizing cannabis oils and suspending them evenly in a thin film. And when dissolved under the tongue each THC QuickStrip delivers its cannabinoids with greater impact than edibles, oils or capsules containing similar amounts of THC because it bypasses the digestive system.

Being strips can easily be torn into smaller segments for micro-dosing. Sold in pouches of 10 strips (10 mg THC ea), with each strip hermetically sealed in individual wrappers for perfect portability.

Being strips are nut-free, and contain no animal products. Naturally flavoured with peppermint oil.",10 Strips,,https://cdn.ocs.ca/img/101622/00826494000018_a1c1_compress_101622.jpg,EA,YES,26.52,12,0,0,11,0,0,0,0,0,3.4,Hybrid,,Indoor,0,00826494000018,101622,101622_10 Strips___,0,0,0,,0,,12,,,,,-,,Indoor,-,,,CO2,-,,,,,,,,,8.000000,11.000000  mg/unit,,,,NO
Extracts,Sublingual Strips,,Cloud Buster THC 10 Strip,Kin Slips,EMBLEM CANNABIS CORP.,Sublingual strips crafted with cannabinoids and terpenes commonly found in sativa strains.,"Crafted with cannabinoids and terpenes commonly found in sativa strains. Kin Slips are peppermint flavoured compact, portable, odourless strips that are designed to dissolve under your tongue to deliver a precise and fast-acting dose. These carefully-crafted blends are formulated with cannabinoids, terpenes, and natural ingredients, and are designed for consistent, discreet, combustion-free experiences. Kin Slips dissolve under your tongue in about one minute. You’ll start feeling effects in as little as 10-15 minutes.",10 Strips,,https://ocs.azureedge.net/img/101764/00882464001324_01_compress_101764.jpg,EA,YES,19.88,12,0,0,11,0,0,0,2,0,2.88,Sativa Dominant,,Greenhouse,0,00882464001324,101764,101764_10 Strips___,0,0,0,,0,,12,,,,,-,,Greenhouse,-,,,-,-,,,,,,,,,10.000000,10.000000  mg/unit,1.000000,1.000000  mg/unit,,NO
Extracts,Sublingual Strips,,Float On THC 10 Strip,Kin Slips,EMBLEM CANNABIS CORP.,Sublingual strips crafted with cannabinoids and terpenes commonly found in indica strains.,"Composed of cannabinoids and terpenes commonly found in indica strains. Kin Slips are peppermint flavoured compact, portable, odourless strips that are designed to dissolve under your tongue to deliver a precise and fast-acting dose. These carefully-crafted blends are formulated with cannabinoids, terpenes, and natural ingredients, and are designed for consistent, discreet, combustion-free experiences. Kin Slips dissolve under your tongue in about one minute. You’ll start feeling effects in as little as 10-15 minutes.",10 Strips,,https://ocs.azureedge.net/img/101766/00882464001348_01_compress_101766.jpg,EA,YES,19.88,12,0,0,11,0,0,0,0.2,0,2.88,Indica Dominant,"Beta-Caryophyllene,Limonene,Linalool,Terpineol,Terpineol",Greenhouse,0,00882464001348,101766,101766_10 Strips___,0,0,0,,0,,12,,,,,-,,Greenhouse,-,,,CO2,-,,,,,,,,,10.000000,10.000000  mg/unit,1.000000,1.000000  mg/unit,,NO
Extracts,Sublingual Strips,,Park Life CBD 10 Strip,Kin Slips,EMBLEM CANNABIS CORP.,Sublingual strips with a blend of cannabinoids and terpenes commonly found in CBD strains.,"With a blend of cannabinoids and terpenes commonly found in CBD strains, Park Life™ can be an addition to your daily routine without the high. Kin Slips are peppermint flavoured compact, portable, odourless strips that are designed to dissolve under your tongue to deliver a precise and fast-acting dose. These carefully-crafted blends are formulated with cannabinoids, terpenes, and natural ingredients, and are designed for consistent, discreet, combustion-free experiences. Kin Slips dissolve under your tongue in about one minute. You’ll start feeling effects in as little as 10-15 minutes.",10 Strips,,https://ocs.azureedge.net/img/101768/00882464001362_01_compress_101768.jpg,EA,NO,19.88,12,0,0,0.2,0,0,0,11,0,2.88,Hybrid,,Greenhouse,0,00882464001362,101768,101768_10 Strips___,0,0,0,,0,,12,,,,,-,,Greenhouse,-,,,CO2,-,,,,,,,,,1.000000,1.000000  mg/unit,9.000000,11.000000  mg/unit,,NO
Extracts,Sublingual Strips,,Fast Acting Oral CBD QuickStrip,Being,9258159 CANADA INC. O/A THRIVE CANNABIS,"Being Fast Acting Oral CBD QuickStrip™ is a smoke-free cannabis alternative that can deliver more cannabinoids per equivalent dose, faster.","Being Fast Acting Oral CBD QuickStrip™ is a smoke-free cannabis alternative that can deliver more cannabinoids per equivalent dose, faster, than other non-combustible formats. Each QuickStrip delivers cannabinoids rapidly by micronizing cannabis oils and suspending them evenly in a thin film. And when dissolved under the tongue each CBD QuickStrip may deliver its cannabinoids with greater impact than edibles, oils or capsules containing similar amounts of CBD because it bypasses the digestive system. Being strips can easily be torn into smaller segments for micro-dosing. Sold in pouches of 10 strips (with each strip hermetically sealed in individual wrappers for perfect portability. Being strips are, nut-free, and contain no animal products. Naturally flavoured with peppermint oil.",10 Strips,,https://cdn.ocs.ca/img/101850/00826494000025_a1c1_compressed_101850.jpg,EA,NO,26.52,12,0,0,0.01,0,0,0,11,0,0.06,Sativa Dominant,,Indoor,0,00826494000025,101850,101850_10 Strips___,0,0,0,,0,,12,,,,,-,,Indoor,-,,,-,-,,,,,,,,,0.000000,0.010000  mg/unit,8.000000,10.000000  mg/unit,,NO
Topicals,Intimacy Oils,,Intimacy Collection,PROOFLY,Lupos (Canada) Biotechnology Inc,"Our beloved CBD arousal oil, Warming CBD massage oil and Water-based unisex Lubricant are the perfect bundle to support arousal, pleasure and comfort.","The dynamic trio of pleasure contains 2250 mg CBD and 12.50 mg THC with a net weight 75 g. Warming CBD massage oil get you relaxed and into the mood, CBD arousal oil sets the stage, and our water-based unisex lubricant keeps things feeling incredible.

PROOFLY - CBD Arousal Oil: Proofly’s Arousal Oil with 2000 mg of CBD Isolate is an all-natural oil, formulated to use solo or with a partner. It works as a topical oil to enhance pleasure and sensation.

PROOFLY - Warming CBD Massage Oil: This non-greasy and quick absorbing massage oil which is infused with 125 mg CBD and 6.25 mg THC also consists of Vitamin E, Arnica oil, Canola oil, Jojoba oil, and Almond oil to provide excellent glide during application. For topical use only. 

PROOFLY - Water-Based Unisex Lubricant: This non-greasy and non-staining water-based personal lubricant contains 125 mg CBD, 6.25 mg THC and can be easily removed by rinsing. It is latex condom compatible and fragrance-free. For topical use only.",75ml,,https://cdn.ocs.ca/img/103315/00841527000438_a1c1_compressed_103315.jpg,EA,YES,55.72,3,0,0,0,0,0,0,0,0,1.07,Sativa Dominant,,-,0,00841527000438,103315,103315_75ml___,0,0,0,,0,,3,NEW,,,,-,,-,-,,,Ethanol,-,,,,,,,,,6.250000,25.000000  mg/bottle,1.700000,6.800000  mg/g,73.5,NO
Accessories,"Tools, Scales and Kits",,Bamboo Roller Slim,OCB,DAA Brands Company Inc.,The OCB Bamboo roller is made from 100% natural bamboo wood harvested from sustainably managed tree farms.,"The OCB Bamboo roller is made from 100% natural bamboo wood harvested from sustainably managed tree farms.  The natural look and feel of this roller makes it a perfect complement to an eco-minded lifestyle.  A sturdy reinforced rolling belt provides smooth and reliable action for a perfect roll every time, while its compact and portable size makes it a perfect choice for active or outdoor-oriented rollers.  The OCB Bamboo roller is available in three sizes: Single Wide / 70mm (for use with papers up to 69mm), 1 1/4 /79mm (for use with papers up to 77 mm) and Slim (for use with papers up to 109mm).  Easy-to-follow instructions included.",110mm,,https://cdn.ocs.ca/img/200634/00077170109987_a1c0_compressed_200634.jpg,EA,NO,4.23,6,0,0,0,0,0,0,0,0,0,-,,,0,077170109970,200634,200634_110mm___,0,0,0,,0,6,36,,,,,,,,,,,,,,,,,,,,,,,,,,NO
Accessories,Infusers,,Two Hand Twist Hand Pollen Press,Genuine Pipe Co.,MAQABIM DISTRIBUTORS LTD.,The herb master heavy duty T handle style pollen press is very strong and durable allowing you to apply maximum pressure to create disks around the size of a nickel.,"The herb master heavy duty T handle style pollen press is very strong and durable allowing you to apply maximum pressure to create disks around the size of a nickel. It is recommended you run it a few times and then clean it before first use. Features a heavy duty metal alloy that’s very strong and durable, resists galling and can be heated. Creates a puck around the size of a nickel and is easy to use. Includes 1 Genuine Pipe Co. two hand twist hand pollen press.",,Black,https://cdn.ocs.ca/img/200727/826945016339_M1C0_compressed_200727.PNG,EA,NO,7.5,50,0,0,0,0,0,0,0,0,0,-,,,0,826945016339,200727,200727__Black__,0,0,0,,0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,NO
Vapes,510 Thread Cartridges,,Blue Dream 510 Thread Cartridge,Good Supply,APHRIA INC.,"A 0.5 g Blue Dream 510 thread cartridge from Good Supply filled with a smooth, berry-flavoured distillate.","The distillate in this 0.5 g cartridge from Good Supply comes from a hybrid extract. 

This product’s smooth, berry flavour comes from a terpene profile that contains beta-caryophyllene, also in black pepper, cloves and balsam; myrcene, which is present in mangoes, lemon grass, hops and thyme; humulene, which it shares with hops and coriander; and linalool, found in lavender and many flowers, mint and cinnamon. 

This cartridge should be stored upright in a dark, room-temperature environment. This cartridge requires a 510 thread vape battery for use.

Good Supply produced by Aphria, from Leamington, Ont., which grows all of its cannabis in state-of-the-art greenhouses and controls quality with a 509-step process.
",1g,,https://cdn.ocs.ca/img/300023/00694144009595_03_compress_300023.jpg,EA,YES,24.52,12,76,85.5,0,0,0,0.8,0,0,4,Blend,"Beta-Caryophyllene,Myrcene,Limonene,Humulene,Humulene",Greenhouse,0,00694144009595,300023,300023_1g___,0,0,0,,0,,12,,,,"THC Distillate, flavouring agents",-,-,Greenhouse,-,-,Machine Trimmed and Hand Groomed,Ethanol,-,,,,,,,,,760.000000,855.000000  mg/g,0.000000,8.000000  mg/g,,NO
Vapes,510 Thread Cartridges,,Pineapple Express 510 Thread Cartridge,Good Supply,APHRIA INC.,"A 0.5 g Pineapple Express 510 thread cartridge from Good Supply filled with a smooth, tropical distillate.","The distillate in this 0.5 g cartridge from Good Supply comes from a hybrid extract. 

This product’s smooth, tropical flavour comes from a terpene profile that contains limonene, which is also found in citrus fruits and juniper; myrcene, present in mangoes, lemon grass, hops and thyme; humulene, which it shares with hops and coriander; and linalool, found in lavender and many flowers, mint and cinnamon.

This cartridge should be stored upright in a dark, room-temperature environment. This cartridge requires a 510 thread vape battery for use.

Good Supply produced by Aphria, from Leamington, Ont., which grows all of its cannabis in state-of-the-art greenhouses and controls quality with a 509-step process.

",0.5g,,https://cdn.ocs.ca/img/300024/00694144009533_03_compress_300024.jpg,EA,YES,16.56,12,78,84,0,0,0,0.3,0,0,2,Hybrid,,-,0,00694144003692,300024,300024_0.5g___,0,0,0,,0,,12,,,,"THC Distillate, flavouring agents",Pineapple Express,-,-,-,-,-,Ethanol,-,,,,,,,,,780.000000,840.000000  mg/g,0.000000,3.000000  mg/g,,NO
