Order Qty (cases),List Type,SKU/MBLL Item Number,UPC/GTIN,Supplier,Brand,Type,Sub-Type,Description1,THC range,CBD range,Unit Vol/Size,Unit of Measure,Unit Price,Units Per Case,Case Price,Product Notifications
,CANNABIS AVAILABLE,27012,826966004414,APHRIA INC,CANACA,DRIED FLOWER,WHOLE BUD/FLOWER,CANACA MANGO 3.5,200 - 240 mg/g,.0003 - 10 mg/g,3.5,g,14.30,24,343.2, 
,CANNABIS AVAILABLE,27013,826966000553,APHRIA INC,CANACA,DRIED FLOWER,WHOLE BUD/FLOWER,CANACA MANGO 7 G,200 - 240 mg/g,.0001 - 10 mg/g,7,g,26.00,12,312, 
,CANNABIS CBD AVAILABLE,27146,694144000219,APHRIA INC,SOLEI,DRIED FLOWER,WHOLE BUD/FLOWER,FREE,.0003 - 20 mg/g,100 - 200 mg/g,3.5,g,15.59,24,374.16, 
,CANNABIS AVAILABLE,27158,694144000660,APHRIA INC,RIFF,DRIED FLOWER,WHOLE BUD/FLOWER,SUBWAY SCIENTIST,160 - 260 mg/g,.0003 - 10 mg/g,3.5,g,19.49,24,467.76, 
,CANNABIS AVAILABLE,27190,694144000516,APHRIA INC,RIFF,DRIED FLOWER,PRE-ROLLED,SUBWAY SCIENTIST PR1X1G,160 - 260 mg/g,.001 - 10 mg/g,1,g,6.50,48,312, 
,CANNABIS AVAILABLE,27798,628242050340,UNITED GREENERIES LTD,CAPTAIN'S CHOICE,DRIED FLOWER,PRE-ROLLED,INDICA BLEND PR2X0.5G,110 - 220 mg/g,.1 - 10 mg/g,1,g,5.72,48,274.56, 
,CANNABIS AVAILABLE,27802,628242050357,UNITED GREENERIES LTD,CAPTAIN'S CHOICE,DRIED FLOWER,PRE-ROLLED,INDICA BLEND PR7X0.5G,110 - 220 mg/g,.0003 - 10 mg/g,3.5,g,19.21,48,922.08, 
,CANNABIS AVAILABLE,28463,694144002510,APHRIA INC,GOOD SUPPLY,DRIED FLOWER,WHOLE BUD/FLOWER,JEAN GUY,160 - 260 mg/g,.0003 - 10 mg/g,3.5,g,14.94,24,358.56, 
,CANNABIS AVAILABLE,28464,694144002770,APHRIA INC,GOOD SUPPLY,DRIED FLOWER,PRE-ROLLED,JEAN GUY PR1X1G,160 - 260 mg/g,.001 - 10 mg/g,1,g,5.84,48,280.32, 
,CANNABIS AVAILABLE,28516,628250744002,AGMEDICA BIOSCIENCE INC,VERTICAL CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,COLD CREEK KUSH,200 - 260 mg/g,10 - 10 mg/g,1,g,7.91,24,189.84, 
,CANNABIS AVAILABLE,28519,628250744927,AGMEDICA BIOSCIENCE INC,VERTICAL CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,COLD CREEK KUSH,200 - 260 mg/g,.0014 - 10 mg/g,7,g,36.26,12,435.12, 
,CANNABIS AVAILABLE,29003,627560010401,ZENABIS LTD,NAMASTE,DRIED FLOWER,WHOLE BUD/FLOWER,ULTRA SOUR,180 - 250 mg/g,.001 - 10 mg/g,1,g,6.98,24,167.52, 
,CANNABIS AVAILABLE,29005,627560010418,ZENABIS LTD,NAMASTE,DRIED FLOWER,WHOLE BUD/FLOWER,ULTRA SOUR,180 - 250 mg/g,.0003 - 2.8571 mg/g,3.5,g,24.42,12,293.04, 
,CANNABIS AVAILABLE,29008,628242801102,ENTOURAGE,COLOR CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,BLUEBERRY SEAGAL,180 - 230 mg/g,.0003 - 20 mg/g,3.5,g,19.43,18,349.74, 
,CANNABIS AVAILABLE,29011,628242801089,ENTOURAGE,COLOR CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,GHOST TRAIN HAZE,190 - 240 mg/g,.0003 - 20 mg/g,3.5,g,19.43,18,349.74, 
,CANNABIS CBD AVAILABLE,29012,628242801096,ENTOURAGE,COLOR CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,MANGO HAZE,40 - 80 mg/g,60 - 120 mg/g,3.5,g,19.43,18,349.74, 
,CANNABIS AVAILABLE,29017,628242801126,ENTOURAGE,COLOR CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,WHITE SHARK,150 - 200 mg/g,.0003 - 20 mg/g,3.5,g,19.43,18,349.74, 
,CANNABIS AVAILABLE,29382,628250744019,AGMEDICA BIOSCIENCE INC,VERTICAL CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,COLD CREEK KUSH,200 - 260 mg/g,10 - 10 mg/g,3.5,g,19.96,24,479.04, 
,CANNABIS AVAILABLE,29714,826966010026,APHRIA INC,CANACA,DRIED FLOWER,PRE-ROLLED,CANACA PR3X0.5G BLEND 19,180 - 220 mg/g,.0007 - 10 mg/g,1.5,g,7.47,48,358.56, 
,CANNABIS CBD AVAILABLE,30351,694144000448,APHRIA INC,SOLEI,EXTRACTS INGESTED,INFUSED EDIBLE OILS,FREE OIL,5.7 - 30 mg/unit,255 - 345 mg/unit,30,ml,9.99,12,119.88, 
,CANNABIS AVAILABLE,30615,688083002595,CANOPY GROWTH CORPORATION,TWD,DRIED FLOWER,WHOLE BUD/FLOWER,BALANCED DRIED FLOWER,30 - 130 mg/g,30 - 130 mg/g,3.5,g,13.29,12,159.48, 
,CANNABIS AVAILABLE,30619,688083002328,CANOPY GROWTH CORPORATION,TWD,DRIED FLOWER,WHOLE BUD/FLOWER,INDICA DRIED FLOWER,100 - 250 mg/g,.0003 - 2.8571 mg/g,3.5,g,13.29,12,159.48, 
,CANNABIS AVAILABLE,30620,688083002335,CANOPY GROWTH CORPORATION,TWD,DRIED FLOWER,WHOLE BUD/FLOWER,INDICA DRIED FLOWER,100 - 250 mg/g,.0001 - 1.4286 mg/g,7,g,25.19,12,302.28, 
,CANNABIS AVAILABLE,30621,688083002311,CANOPY GROWTH CORPORATION,TWD,DRIED FLOWER,WHOLE BUD/FLOWER,INDICA DRIED FLOWER,100 - 250 mg/g,.0001 - .6667 mg/g,15,g,46.89,6,281.34, 
,CANNABIS AVAILABLE,30622,688083002359,CANOPY GROWTH CORPORATION,TWD,DRIED FLOWER,WHOLE BUD/FLOWER,SATIVA DRIED FLOWER,100 - 250 mg/g,.0003 - 2.8571 mg/g,3.5,g,13.29,12,159.48, 
,CANNABIS AVAILABLE,30623,688083002366,CANOPY GROWTH CORPORATION,TWD,DRIED FLOWER,WHOLE BUD/FLOWER,SATIVA DRIED FLOWER,100 - 250 mg/g,.0001 - 1.4286 mg/g,7,g,25.19,12,302.28, 
,CANNABIS AVAILABLE,30624,688083002342,CANOPY GROWTH CORPORATION,TWD,DRIED FLOWER,WHOLE BUD/FLOWER,SATIVA DRIED FLOWER,100 - 250 mg/g,.0001 - .6667 mg/g,15,g,46.89,6,281.34, 
,CANNABIS AVAILABLE,30625,688083002717,CANOPY GROWTH CORPORATION,TWD,DRIED FLOWER,PRE-ROLLED,INDICA PR1X1G,100 - 250 mg/g,.001 - 10 mg/g,1,g,4.69,48,225.12, 
,CANNABIS AVAILABLE,30626,688083002724,CANOPY GROWTH CORPORATION,TWD,DRIED FLOWER,PRE-ROLLED,SATIVA PR1X1G,100 - 250 mg/g,.001 - 10 mg/g,1,g,4.69,48,225.12, 
